Import Batch Identifier,Payee Identifier,Payee Bank Account Identifier,Bank Name,Branch Name,Account Country Code,Account Name,Account Number,Account Currency Code,Allow International Payments,Account Start Date,Account End Date,IBAN,Check Digits,Account Alternate Name,Account Type Code,Account Suffix,Account Description,Agency Location Code,Exchange Rate Agreement Number ,Exchange Rate Agreement Type,Exchange Rate,Secondary Account Reference,Attribute Category ,Attribute 1,Attribute 2,Attribute 3,Attribute 4,Attribute 5,Attribute 6,Attribute 7,Attribute 8 ,Attribute 9,Attribute 10,Attribute 11,Attribute 12,Attribute 13 ,Attribute 14 ,Attribute 15
998199,1000,1000,Wells Fargo Bank,Wells Fargo Bank,US,M/S Fresno :  Account,5901451551,USD,N,2010/1/1,2015/5/1,,2,Alternate Name,SAVINGS,Suffix,Success,Location Code,Agreement Number,Agreement Type,,Secondary Account Reference,,Attribute 1,Attribute 2,Attribute 3,Attribute 4,Attribute 5,Attribute 6,Attribute 7,Attribute 8,Attribute 9,Attribute 10,Attribute 11,Attribute 12,Attribute 13,Attribute 14,Attribute 15
8000,1000,1100,Wells Fargo Bank,Wells Fargo Bank,US,M/S Fresno : EUR Account,5001001551,EUR,N,2010/1/1,2015/5/1,,,Alternate Name,SAVINGS,Suffix,Success,Location Code,Agreement Number,Agreement Type,0,,,,,,,,,,,,,,,,,
8000,2000,1200,Wells Fargo Bank,Wells Fargo Bank,US,Fresno : USD Account,5533890453,USD,N,2010/1/1,2015/5/1,,,Alternate Name,SAVINGS,Suffix,Success,,,,,,,,,,,,,,,,,,,,,
8000,3000,2100,,,DE,My Invalid Account 1,1700900012,USD,N,2010/1/1,2015/5/1,11000900012,,Alternate Name,CURRENT,Suffix,Fail - IBAN,,,,,,,,,,,,,,,,,,,,,
8000,4000,2200,,,DK,My Invalid Account 2,1700900013,EUR,N,2010/1/1,2015/5/1,11000900013,,Alternate Name,CURRENT,Suffix,Fail - IBAN,,,,,,,,,,,,,,,,,,,,,
8000,5000,2300,Wells Fargo Bank,Wells Fargo Bank,US,Wells Account48918,4891834500,EUR,N,2010/5/1,2015/5/2,,,Alternate Name,CURRENT,Suffix,Success,,,,,,,,,,,,,,,,,,,,,
8000,6000,3100,Wells Fargo Bank,Wells Fargo Bank,US,Wells Account 1134544,1134544,USD,N,2010/5/1,2015/5/3,,,Alternate Name,CURRENT,Suffix,Success,,,,,,,,,,,,,,,,,,,,,
8000,7000,3200,State Bank of India,Mumbai,IN,SBI 4891822,4891822,INR,N,2010/1/1,2015/5/4,,,Alternate Name,CURRENT,Suffix,Success,,,,,,,,,,,,,,,,,,,,,
8000,8000,3300,State Bank of India,Hyderabad,IN,SBI 4891899,4891899,INR,N,2010/1/1,2015/5/5,,,Alternate Name,CURRENT,Suffix,Success,,,,,,,,,,,,,,,,,,,,,
8000,9000,3400,State Bank of India,Mumbai,IN,SBI 11553455500,11553455500,INR,N,2010/1/1,2015/5/6,,,Alternate Name,CURRENT,Suffix,Success,,,,,,,,,,,,,,,,,,,,,
8000,10000,3500,State Bank of India,Hyderabad,IN,SBI 55345552200,55345552200,INR,N,2010/1/1,2015/5/7,,,Alternate Name,CURRENT,Suffix,Success,,,,,,,,,,,,,,,,,,,,,
8000,11000,4100,Wells Fargo Bank,Wells Fargo Bank,US,Wells 4262311 EUR,4262311,EUR,N,2010/1/1,2015/5/8,,,Alternate Name,CURRENT,Suffix,Success,,,,,,,,,,,,,,,,,,,,,
8000,12000,5100,Wells Fargo Bank,Wells Fargo Bank,US,Wells 4262322 USD,4262322,USD,N,2010/1/1,2015/5/9,,,Alternate Name,CURRENT,Suffix,Success,,,,,,,,,,,,,,,,,,,,,
8000,13000,6100,Bank of Montreal,,CA,BM A/C 779000991,779000991,USD,N,1992/1/1,2015/5/10,,,Alternate Name,CURRENT,Suffix,Success - Missing Branch,,,,,,,,,,,,,,,,,,,,,
8000,1000,6200,,,US,My Invalid Account 3,80808081111,USD,Y,1997/1/2,2015/5/11,,,Alternate Name,CURRENT,Suffix,Fail - Foreign A/c missing bankbranch info,,,,,,,,,,,,,,,,,,,,,
8000,2000,6300,,,US,,99991111000,USD,,1992/1/3,2015/5/12,,,Alternate Name,CURRENT,Suffix,Fail - Foreign A/c missing branch info,,,,,,,,,,,,,,,,,,,,,
8000,3000,7100,Citibank,West Side Branch,US,Citi 99990009090,99990009090,USD,Y,1995/1/2,2015/5/11,,,Alternate Name,CURRENT,Suffix,Success,,,,,,,,,,,,,,,,,,,,,
8000,4000,7200,Citibank,East Side Branch,US,Citi 55550001010,55550001010,USD,Y,1995/1/3,2015/5/12,,,Alternate Name,CURRENT,Suffix,Success,,,,,,,,,,,,,,,,,,,,,
8000,5000,8100,Citibank,Westside Branch,US,Citi 222211001100,2.22211E+11,EUR,,1995/1/4,2015/5/13,,,Alternate Name,CURRENT,Suffix,Success,,,,,,,,,,,,,,,,,,,,,
8000,6000,8200,,,DE,Deutsche 11001100,11001100,EUR,,1995/1/4,2015/5/13,,,Alternate Name,CURRENT,Suffix,A/C Validation,,,,,,,,,,,,,,,,,,,,,
8000,7000,9100,,,DE,Deutsche 11001188,11001188,EUR,,1995/1/4,2015/5/13,,,Alternate Name,CURRENT,Suffix,Fail - No Assignment,,,,,,,,,,,,,,,,,,,,,
8000,8000,10100,Bank of America,,US,Bofa A/C 1234567,1234567,USD,Y,1995/1/5,2015/5/14,,,Alternate Name,CURRENT,Suffix,A/C Validation,,,,,,,,,,,,,,,,,,,,,
8000,9000,10200,Bank of America,,US,Bofa A/C for SUN,11001331,JPY,,1995/1/6,2015/5/15,,,Alternate Name,CURRENT,Suffix,A/C Validation,,,,,,,,,,,,,,,,,,,,,
8000,10000,10300,Bank of America,,US,Bofa A/C for SUN,11001332,USD,,1995/1/7,2015/5/16,,,Alternate Name,CURRENT,Suffix,A/C Validation,,,,,,,,,,,,,,,,,,,,,
8000,11000,10400,Bank of America,,US,Bofa A/C for SUN,11001335,JPY,,1995/1/8,2015/5/17,,,Alternate Name,CURRENT,Suffix,A/C Validation,,,,,,,,,,,,,,,,,,,,,
8000,12000,11100,Bank of America,,US,Bofa A/C for SUN,0,USD,Y,2010/1/1,2015/5/18,,,Alternate Name,CURRENT,Suffix,A/C Validation,,,,,,,,,,,,,,,,,,,,,
8000,13000,11200,,,US,Bofa A/C for SUN,1,INR,N,2010/5/1,2011/5/19,,,Alternate Name,SAVINGS,Suffix,Success - End dated,,,,,,,,,,,,,,,,,,,,,
8000,1000,11300,,,US,Bofa A/C for SUN,43215151,SGD,N,2010/5/1,2011/5/20,,,Alternate Name,SAVINGS,Suffix,Success - End dated,,,,,,,,,,,,,,,,,,,,,
8000,2000,12100,,,US,Bofa A/C for SUN,88880001,QAR,N,2010/1/1,2015/5/21,,,Alternate Name,,,A/C Validation,,,,,,,,,,,,,,,,,,,,,
8000,3000,12200,Bank of Montreal,,US,Bofa A/C for SUN,9770080,USD,N,2010/1/1,2015/5/22,,,Alternate Name,,,Fail - Invalid Bank Branch combination,,,,,,,,,,,,,,,,,,,,,
8000,4000,13100,Bank of Montreal,,US,Bofa A/C for SUN,26004000100,USD,Y,2010/5/1,2015/5/23,,,Alternate Name,,,Fail - Invalid Bank Branch combination,,,,,,,,,,,,,,,,,,,,,
